######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
2|apnic|20200731|65776|19830613|20200730|+1000
apnic|NZ|asn|9245|1|20000530|allocated
apnic|GU|asn|9246|1|20000530|allocated
apnic|SG|asn|9247|1|20000531|allocated
apnic|NZ|asn|9248|1|20000531|allocated
apnic|VU|asn|9249|1|20020925|allocated
apnic|AU|asn|9250|1|20000601|allocated
apnic|ID|asn|9251|1|20000601|allocated
apnic|AU|asn|9252|1|20000601|allocated
apnic|HK|asn|9253|1|20000602|allocated
apnic|PH|asn|9254|1|20080822|allocated
apnic|SG|asn|9255|1|20000602|allocated
apnic|PH|asn|9256|1|20090716|allocated
apnic|AU|asn|9257|1|20000606|allocated
apnic|AU|asn|9258|1|20000606|allocated
apnic|HK|asn|9259|1|20000607|allocated
apnic|PK|asn|9260|1|20070201|allocated
apnic|AU|asn|9261|1|19980120|allocated
apnic|AU|asn|9262|1|19980122|allocated
apnic|HK|asn|9263|1|19980126|allocated
apnic|TW|asn|9264|1|19980202|allocated
apnic|AU|asn|9265|1|19980205|allocated
apnic|HK|asn|9266|1|19980205|allocated
apnic|AU|asn|9267|1|19980206|allocated
apnic|AU|asn|9268|1|19980206|allocated
apnic|HK|asn|9269|1|19980213|allocated
apnic|KR|asn|9270|8|19980122|allocated
apnic|AU|asn|9278|1|19980213|allocated
apnic|AU|asn|9279|1|19980224|allocated
apnic|AU|asn|9280|1|19980224|allocated
apnic|NZ|asn|9281|1|20041109|allocated
apnic|AU|asn|9282|1|19980225|allocated
apnic|AU|asn|9283|1|20100525|allocated
apnic|AU|asn|9284|1|19980225|allocated
apnic|IN|asn|9285|1|20061122|allocated
apnic|KR|asn|9286|1|20020906|allocated
apnic|TH|asn|9287|1|19980310|allocated
apnic|BD|asn|9288|1|20170420|allocated
apnic|HK|asn|9289|1|20020925|allocated
apnic|AU|asn|9290|1|20080206|allocated
apnic|AU|asn|9291|1|19980330|allocated
apnic|SG|asn|9292|1|19980401|allocated
apnic|HK|asn|9293|1|19980403|allocated
apnic|AU|asn|9294|1|19980406|allocated
apnic|AU|asn|9295|1|19980406|allocated
apnic|AU|asn|9296|1|19980413|allocated
apnic|AU|asn|9297|1|19980413|allocated
apnic|CN|asn|9298|1|20020111|allocated
apnic|PH|asn|9299|1|19980416|allocated
apnic|AU|asn|9300|1|19980422|allocated
apnic|AU|asn|9301|1|19980428|allocated
apnic|AU|asn|9302|1|19980501|allocated
apnic|NZ|asn|9303|1|19980506|allocated
